clcronje@service0 023_tarefa]$ cat 023*out
Iniciando simulação CUDA 3D com perfilamento NSYS...
[CUDA] Passo  156 | Valor central: 91.07446844 | Tempo: 0.001332 s
[CUDA] Passo  157 | Valor central: 91.02068208 | Tempo: 0.001315 s
[CUDA] Passo  158 | Valor central: 90.96693295 | Tempo: 0.001335 s
[CUDA] Passo  159 | Valor central: 90.91322102 | Tempo: 0.001318 s
[CUDA] Passo  160 | Valor central: 90.85954626 | Tempo: 0.001333 s
[CUDA] Passo  161 | Valor central: 90.80590865 | Tempo: 0.001323 s
[CUDA] Passo  162 | Valor central: 90.75230814 | Tempo: 0.001337 s
[CUDA] Passo  163 | Valor central: 90.69874472 | Tempo: 0.001319 s
[CUDA] Passo  164 | Valor central: 90.64521836 | Tempo: 0.001335 s
[CUDA] Passo  165 | Valor central: 90.59172903 | Tempo: 0.001320 s
[CUDA] Passo  166 | Valor central: 90.53827669 | Tempo: 0.001333 s
[CUDA] Passo  167 | Valor central: 90.48486133 | Tempo: 0.001319 s
[CUDA] Passo  168 | Valor central: 90.43148292 | Tempo: 0.001331 s
[CUDA] Passo  169 | Valor central: 90.37814141 | Tempo: 0.001266 s
[CUDA] Passo  170 | Valor central: 90.32483680 | Tempo: 0.001258 s
[CUDA] Passo  171 | Valor central: 90.27156904 | Tempo: 0.001247 s
[CUDA] Passo  172 | Valor central: 90.21833812 | Tempo: 0.001259 s
[CUDA] Passo  173 | Valor central: 90.16514400 | Tempo: 0.001246 s
[CUDA] Passo  174 | Valor central: 90.11198665 | Tempo: 0.001257 s
[CUDA] Passo  175 | Valor central: 90.05886605 | Tempo: 0.001245 s
[CUDA] Passo  176 | Valor central: 90.00578217 | Tempo: 0.001259 s
[CUDA] Passo  177 | Valor central: 89.95273497 | Tempo: 0.001241 s
[CUDA] Passo  178 | Valor central: 89.89972445 | Tempo: 0.001261 s
[CUDA] Passo  179 | Valor central: 89.84675055 | Tempo: 0.001243 s
[CUDA] Passo  180 | Valor central: 89.79381326 | Tempo: 0.001260 s
[CUDA] Passo  181 | Valor central: 89.74091255 | Tempo: 0.001243 s
[CUDA] Passo  182 | Valor central: 89.68804839 | Tempo: 0.001256 s
[CUDA] Passo  183 | Valor central: 89.63522076 | Tempo: 0.001244 s
[CUDA] Passo  184 | Valor central: 89.58242962 | Tempo: 0.001264 s
[CUDA] Passo  185 | Valor central: 89.52967494 | Tempo: 0.001242 s
[CUDA] Passo  186 | Valor central: 89.47695671 | Tempo: 0.001260 s
[CUDA] Passo  187 | Valor central: 89.42427488 | Tempo: 0.001240 s
[CUDA] Passo  188 | Valor central: 89.37162944 | Tempo: 0.001257 s
[CUDA] Passo  189 | Valor central: 89.31902036 | Tempo: 0.001245 s
[CUDA] Passo  190 | Valor central: 89.26644760 | Tempo: 0.001255 s
