passo,valor_central,tempo
331,82.20450943,0.001243
332,82.15682429,0.001263
333,82.10917174,0.001237
334,82.06155175,0.001259
335,82.01396429,0.001240
336,81.96640935,0.001259
337,81.91888689,0.001237
338,81.87139690,0.001258
339,81.82393934,0.001240
340,81.77651419,0.001254
341,81.72912144,0.001245
342,81.68176105,0.001257
343,81.63443299,0.001242
344,81.58713726,0.001258
345,81.53987381,0.001242
346,81.49264263,0.001253
347,81.44544369,0.001242
348,81.39827697,0.001252
349,81.35114244,0.001237
350,81.30404008,0.001262
351,81.25696986,0.001246
352,81.20993177,0.001259
353,81.16292577,0.001240
354,81.11595184,0.001255
355,81.06900996,0.001240
356,81.02210010,0.001254
357,80.97522224,0.001234
358,80.92837636,0.001263
359,80.88156242,0.001236
360,80.83478041,0.001257
361,80.78803031,0.001240
362,80.74131208,0.001252
363,80.69462570,0.001235
364,80.64797116,0.001255
365,80.60134842,0.001234
366,80.55475747,0.001257
367,80.50819827,0.001243
368,80.46167080,0.001255
369,80.41517505,0.001242
370,80.36871098,0.001255
371,80.32227857,0.001242
372,80.27587780,0.001257
373,80.22950865,0.001237
374,80.18317108,0.001255
375,80.13686509,0.001239
376,80.09059063,0.001262
377,80.04434769,0.001236
378,79.99813625,0.001252
379,79.95195628,0.001239
380,79.90580776,0.001258
381,79.85969066,0.001243
382,79.81360496,0.001263
383,79.76755064,0.001238
384,79.72152767,0.001257
385,79.67553602,0.001247
386,79.62957569,0.001255
387,79.58364663,0.001238
388,79.53774884,0.001261
389,79.49188228,0.001243
390,79.44604692,0.001258
391,79.40024276,0.001234
392,79.35446976,0.001261
393,79.30872790,0.001243
394,79.26301716,0.001257
395,79.21733751,0.001243
396,79.17168893,0.001258
397,79.12607140,0.001244
398,79.08048489,0.001258
399,79.03492938,0.001242
400,78.98940485,0.001256
401,78.94391127,0.001242
402,78.89844862,0.001261
403,78.85301687,0.001243
404,78.80761601,0.001255
405,78.76224601,0.001239
406,78.71690685,0.001257
407,78.67159850,0.001242
408,78.62632093,0.001258
409,78.58107414,0.001238
410,78.53585809,0.001259
411,78.49067276,0.001264
412,78.44551812,0.001272
413,78.40039417,0.001245
414,78.35530086,0.001259
415,78.31023818,0.001238
416,78.26520610,0.001259
417,78.22020461,0.001242
418,78.17523368,0.001257
419,78.13029328,0.001240
420,78.08538339,0.001258
421,78.04050400,0.001242
422,77.99565507,0.001257
423,77.95083659,0.001237
424,77.90604852,0.001260
425,77.86129086,0.001239
426,77.81656357,0.001258
427,77.77186663,0.001243
428,77.72720002,0.001259
429,77.68256372,0.001242
430,77.63795770,0.001255
431,77.59338195,0.001244
432,77.54883643,0.001259
433,77.50432113,0.001241
434,77.45983602,0.001261
435,77.41538108,0.001241
436,77.37095629,0.001261
437,77.32656162,0.001238
438,77.28219705,0.001256
439,77.23786257,0.001238
440,77.19355814,0.001257
441,77.14928374,0.001253
442,77.10503936,0.001259
443,77.06082497,0.001241
444,77.01664054,0.001256
445,76.97248606,0.001235
446,76.92836149,0.001255
447,76.88426683,0.001239
448,76.84020204,0.001264
449,76.79616711,0.001242
450,76.75216201,0.001252
451,76.70818672,0.001237
452,76.66424121,0.001254
453,76.62032547,0.001243
454,76.57643947,0.001257
455,76.53258319,0.001242
456,76.48875661,0.001260
457,76.44495971,0.001239
458,76.40119245,0.001251
459,76.35745483,0.001246
460,76.31374681,0.001254
461,76.27006838,0.001234
462,76.22641951,0.001258
463,76.18280019,0.001237
464,76.13921038,0.001259
465,76.09565008,0.001242
466,76.05211924,0.001255
467,76.00861786,0.001240
468,75.96514591,0.001260
469,75.92170337,0.001239
470,75.87829021,0.001257
471,75.83490642,0.001239
472,75.79155197,0.001255
473,75.74822685,0.001234
474,75.70493102,0.001255
475,75.66166446,0.001243
476,75.61842716,0.001257
477,75.57521910,0.001240
478,75.53204024,0.001260
479,75.48889057,0.001245
480,75.44577007,0.001257
481,75.40267872,0.001251
482,75.35961648,0.001257
483,75.31658335,0.001242
484,75.27357930,0.001254
485,75.23060430,0.001237
486,75.18765834,0.001259
487,75.14474140,0.001241
488,75.10185344,0.001257
489,75.05899446,0.001239
490,75.01616442,0.001263
491,74.97336331,0.001242
492,74.93059111,0.001257
493,74.88784779,0.001239
494,74.84513333,0.001254
495,74.80244771,0.001238
496,74.75979091,0.001257
497,74.71716291,0.001241
498,74.67456368,0.001257
499,74.63199321,0.001240
500,74.58945147,0.001261
501,74.54693844,0.001241
502,74.50445410,0.001253
503,74.46199842,0.001241
504,74.41957140,0.001260
505,74.37717299,0.001237
506,74.33480320,0.001256
507,74.29246198,0.001238
508,74.25014932,0.001262
509,74.20786520,0.001241
510,74.16560960,0.001262
511,74.12338250,0.001242
512,74.08118387,0.001258
513,74.03901369,0.001246
514,73.99687195,0.001262
515,73.95475862,0.001239
516,73.91267368,0.001254
517,73.87061710,0.001236
518,73.82858888,0.001252
519,73.78658898,0.001237
520,73.74461738,0.001253
521,73.70267407,0.001236
522,73.66075902,0.001258
523,73.61887221,0.001244
524,73.57701362,0.001257
525,73.53518323,0.001241
526,73.49338102,0.001260
527,73.45160697,0.001242
